Datum;Timestamp;Schlusskurs
20.12.2001;1008806400;0.8981
21.12.2001;1008892800;0.8972
24.12.2001;1009152000;0.8972
25.12.2001;1009238400;0.8972
26.12.2001;1009324800;0.8972
27.12.2001;1009411200;0.8826
28.12.2001;1009497600;0.8826
31.12.2001;1009756800;0.8826
01.01.2002;1009843200;0.8826
02.01.2002;1009929600;0.8994
03.01.2002;1010016000;0.9017
04.01.2002;1010102400;0.8977
07.01.2002;1010361600;0.8968
08.01.2002;1010448000;0.8904
09.01.2002;1010534400;0.8929
10.01.2002;1010620800;0.893
11.01.2002;1010707200;0.892
14.01.2002;1010966400;0.8935
15.01.2002;1011052800;0.8919
16.01.2002;1011139200;0.8815
17.01.2002;1011225600;0.8806
18.01.2002;1011312000;0.8807
21.01.2002;1011571200;0.8846
22.01.2002;1011657600;0.8842
23.01.2002;1011744000;0.8867
24.01.2002;1011830400;0.8781
25.01.2002;1011916800;0.8737
28.01.2002;1012176000;0.865
29.01.2002;1012262400;0.8613
30.01.2002;1012348800;0.8663
31.01.2002;1012435200;0.8629
01.02.2002;1012521600;0.8605
04.02.2002;1012780800;0.8623
05.02.2002;1012867200;0.8694
06.02.2002;1012953600;0.8669
07.02.2002;1013040000;0.8678
08.02.2002;1013126400;0.8728
11.02.2002;1013385600;0.8738
12.02.2002;1013472000;0.879
13.02.2002;1013558400;0.8758
14.02.2002;1013644800;0.8719
15.02.2002;1013731200;0.8717
18.02.2002;1013990400;0.873
19.02.2002;1014076800;0.8678
20.02.2002;1014163200;0.8758
21.02.2002;1014249600;0.8711
22.02.2002;1014336000;0.8697
25.02.2002;1014595200;0.8744
26.02.2002;1014681600;0.8708
27.02.2002;1014768000;0.8648
28.02.2002;1014854400;0.8657
01.03.2002;1014940800;0.8681
04.03.2002;1015200000;0.8639
05.03.2002;1015286400;0.8699
06.03.2002;1015372800;0.8717
07.03.2002;1015459200;0.8789
08.03.2002;1015545600;0.8789
11.03.2002;1015804800;0.8746
12.03.2002;1015891200;0.8733
